customerid,hashed_name,registration_date,country_code
53,IuiLcTmavAll+yy+wB3j+AhjtUsah5ue/kHYMyOBtrQ=,2019-03-02 00:59:05,NL
54,iXUT5ZD9vR4CRtfQ1+814ROxFZ2kh9iNywv0KGhSF7I=,2019-03-02 00:59:55,DE
55,ANKwxCeWxex2/mTbEv3bNn91JEHP8ht44iWgD/L2Mg8=,2019-03-02 01:00:05,GB
56,K+jbI1K9S/spqi10ZFXdjl4Q+9KJxgotM1QJ5FHRbCs=,2019-03-02 01:00:42,PL
57,5YFWLWDUW25+V51EA6fc6vueun3UKt1CWzlDG2OwyK0=,2019-03-02 01:01:00,NL
58,gMBWGT8whfxJEavFu9WvSuGF37Y4uaYQZWiRqjXNujA=,2019-03-02 01:02:16,PL
59,CyzXSo104qncQGrOdp/ifkFkuZKsIV8mieMl2PMW5JI=,2019-03-02 01:02:50,MX
60,IV0mOF5POLwQMC/jiiff0U6pqQjdstwXchKBbC4VF34=,2019-03-02 01:03:24,DE
61,CHQd0Cy96qFe3nxgnzzfCaY4GV+T0Zs1WfWnMxl0nXc=,2019-03-02 01:06:03,VN
62,uwkq9+TCK17IJYaEG+aC0ygpnijfmrjdhnfSzBTJ48g=,2019-03-02 01:08:39,NL
63,2Yw1OGF1UJBaETwcJGg6X8qWOQgqYmtagXZjvpDfSpg=,2019-03-02 01:08:54,IT
64,grVs7ZBZV6l40nMYpz2vCrdUWkJihwvcVcsQ3miapOU=,2019-03-02 01:11:28,BR
65,2oyc/4fIMH7hjBy4g4oSozQzXqupuG/OnrY/DTkVyUs=,2019-03-02 01:14:12,GB
66,SAP040gpBEK831XwU79u1KnssQtFx+BhWIKiddOIwhs=,2019-03-02 01:14:27,FI
67,ujo9/7x0Fh0+//6T1Bg+BkKXrBWVbV9EhS+P2p/rp1Q=,2019-03-02 01:14:50,FI
68,NLT6hlUnDmBFCophF695WjI8UqaPA9sy1yutE30B0wI=,2019-03-02 01:15:59,NL
69,eit2ChlZx1awrPYaTIiMRC1PS/obkcgzMPDD+ySO8zM=,2019-03-02 01:17:55,DE
70,z0iqyjhgc74pA/0Gbs1gzEI3VVRlW5tcIB+Mp6+bZG0=,2019-03-02 01:18:24,IT
71,ZCFL806bNG4DnVBkj168Y/iSVFkaDqn/0rsBqBrbk9g=,2019-03-02 01:21:29,NL
72,vfRkheOsBz18aZ0DicCR2d6jsRFL1YZBLhxaAbVAZs0=,2019-03-02 01:21:38,DE
73,KxqgjdSby1JNj8H+m87mJzPTov19GW9IS+DTFs4gMic=,2019-03-02 01:21:55,IT
74,8lzRpb37WlpT22/gaxv7dYDJV2NqQt8uveQi73nLwTg=,2019-03-02 01:22:50,NO
75,ZCFL806bNG4DnVBkj168Y/iSVFkaDqn/0rsBqBrbk9g=,2019-03-02 01:24:30,NL
76,l/yvpMFyAh0Mtkb9BUfMS1f4BnagRdouBmMWmjYTMdc=,2019-03-02 01:25:08,NO
77,TvSIAWT1zc6e9Mcjp1NJwodJMSJkMVmzicFOgb1aTyc=,2019-03-02 01:26:45,DE
78,wO0hhC+WT+fWbyFAQ/TdVnxHGxx9hQnS6f9B6VCgjRA=,2019-03-02 01:28:04,PL
79,/0wwDVpkDTfu6y+hGLKlJHQ/mkbhe/NXyCopa6tEmAY=,2019-03-02 01:29:31,DE
80,eit2ChlZx1awrPYaTIiMRC1PS/obkcgzMPDD+ySO8zM=,2019-03-02 01:34:11,NL
81,Gl4Jy4oBIkwf1T48t4ztOCrhlUKKQV5pvD5HzTKgBlQ=,2019-03-02 01:34:25,DE
82,eLNTgSUPGgk7LV3/fDoYquBigR6SAlMlsKNs+y05iJk=,2019-03-02 01:34:46,NL
83,MIXpOQFHU7cqjRYy2g2QAp/OSYTtEXQKabNVGC4V05M=,2019-03-02 01:34:53,NL
84,tm/gHcUDP+EPuSnqjA47IY+adOqvd+RVv3hBTI10MLg=,2019-03-02 01:35:02,PL
85,OrLTUxdEWkMbnWxY19hnwzi/9+c3FujOLbfSL6md/CU=,2019-03-02 01:35:20,PL
86,OfbOoc8O3BbSYJvomukUlol9xsAf2ke7pKCNqtRzZMU=,2019-03-02 01:35:37,NL
87,g2NHlPPyKa2/6C+R0ZEI9OuT1bcWmDJ6YGB0J18nC4w=,2019-03-02 01:37:29,NL
88,B2ViS1RcWx2mcuq+wSZXd1fmtOlueXnV54zASNl+Aqk=,2019-03-02 01:38:24,NO
89,KSCXLfspCoP//pcJ2h+UmV3xKWifHxDdBK+C+/zqGmU=,2019-03-02 01:41:43,DE
90,KWCAYLk4smgvrkHhFPCJbv+Ivy99lGMluWVfaOrUoC8=,2019-03-02 01:42:30,IT
91,OebcVdDkJJJD/yfws0AVqJvAvN4T/VBb/m2v95UWRFg=,2019-03-02 01:43:22,AW
92,H70LsgRwpJlo3NpfnKyGby+NEwNoPSJecHt0iZkiyXg=,2019-03-02 01:43:31,GB
93,ntjwam/m073yyA5uXG5WZwhui70UIYrLAdMU2xLyNBY=,2019-03-02 01:45:32,IT
94,LMF/HC2elaHGPT/H4np/TyrTVRduXvFghl5dl1D8+CA=,2019-03-02 01:47:42,IT
95,FbaasIGPnF5Xosdi7sBGSTgtcHoPPOJ78EVQG1NDaqI=,2019-03-02 01:48:21,NL
96,uJNofUifQZv57hduPu5cirwfkuodiEI8eKq9k7aiBZk=,2019-03-02 01:50:57,IT
97,0dtRiofQriwnuNagZQULWOPW/r1iRpyNj7Dc0+DAnGE=,2019-03-02 01:50:59,PL
98,dodZMw4BvNdNwwmBptbKhazF7fNPgPWjv9lUU6YBqX0=,2019-03-02 01:51:25,PL
99,OQgTFUbH6GKX9NDxb9eZ19etcaDWaR6J/kesNDN9900=,2019-03-02 01:54:40,DE
100,tm/gHcUDP+EPuSnqjA47IY+adOqvd+RVv3hBTI10MLg=,2019-03-02 01:55:13,PL
101,gMBWGT8whfxJEavFu9WvSuGF37Y4uaYQZWiRqjXNujA=,2019-03-02 01:55:34,PL
102,niitQI7SEAkRmZjcNYvIeFJymXnShCnu0W/4fQ5kKxE=,2019-03-02 01:56:56,SK
103,0oZJHNQusNiE2TU7A3QIU4Jdeyc1KgkhGTLYv4r1p84=,2019-03-02 01:57:10,LB
104,Lue+8OSGdqsdrYOt9mblDUOO0LS7VIHg3rV/omIg8LI=,2019-03-02 01:59:29,PL
105,x1wZhYLAP6hhMcf+uLDGyIXG5k7f0YUqUhOishLUDKI=,2019-03-02 01:59:49,DE
106,4hi+9SLPLcfv2lpatTZf788f29A53s8lWnEyOo9/Jc0=,2019-03-02 02:01:37,GB
107,LoU3lv8DMh5tEbJs3LaXigTSQuhrtRhglO8q8S+MQXU=,2019-03-02 02:04:35,IE
108,0dtRiofQriwnuNagZQULWOPW/r1iRpyNj7Dc0+DAnGE=,2019-03-02 02:05:11,PL
109,NaAfdL8WM9eYP4wP3CMWtrMXv9zkILjC//4iCLVRr1Q=,2019-03-02 02:05:14,NL
110,iLZYL5wpGIoAsoDvAsDvRRnMBbp+s8h9Y34dMNrpY4E=,2019-03-02 02:06:00,NO
